year_start,name,name_unified,corrected_id,corrected_label,born,source,link_notes,other_notes
1700,bbti_2178,"ATKINS, Maurice",,"Atkins, Maurice",England,N,,
1700,36972115,"Baldwin, A.",,"Baldwin, Anne",England,Y,,
1700,bbti_5367,"BELL, Andrew",,"Bell, Andrew (fl. 1683 - 1720)",Scotland,Y,BBTI says 'from Edinburgh',
1700,36768263,"Bettesworth, A.",,"Bettesworth, Arthur",England,N,FIL to Charles Hitch,
1700,abettesworth_3,"BETTESWORTH, A.",36768263,"Bettesworth, Arthur",England,N,,
1700,davidisscotbibliopol_0,"BIBLIOPOLÆ, Davidis",X,,,,,
1700,bbti_6260,"BICKERTON, Thomas",,,England,N,,
1700,bbti_7402,"BODDINGTON, Martin",,,England,N,,
1700,bbti_107904,"BODDINGTON, Nicholas",,,England,N,,
1700,bbti_108355,"BONWICK, Henry",,,England,N,,
1700,bbti_7688,"BONWICKE, Rebecca",,,England,N,,
1700,bbti_8281,"BOWYER, Jonah",,,England,N,,
1700,14825513,"Bowyer, W.",,"Bowyer, William (1699 - 1777)",England,Y,,
1700,bbti_80286,"BROWN, Jos",,,England,N,,
1700,robertbrown_0,"BROWN, Robert",,,?,,,
1700,bbti_10233,"BROWNE, Daniel II",,,England,N,,
1700,9741768,"Burleigh, Ferdinando",,,England,Y,,
1700,bbti_11228,"BURROWS, Samuel",,,England,N,,
1700,5259928,"Cave, E.",,,England,Y,,
1700,bbti_13169,"CHAPMAN, Samuel",,,England,Y,,
1700,bbti_13502,"CHETWOOD, William Rufus",,,England,Y,,
1700,bbti_134792,"CHILDE, T",,,England,Y,,
1700,4306147270694535700005,"Childe, Timothy",bbti_134792,,England,Y,,
1700,gulchurchill_0,"CHURCHILL, Gul.",bbti_106896,,England,Y,,
1700,bbti_106896,"CHURCHILL, William",,,England,Y,,
1700,263788498,"Clarke, J.",,,England,N,,
1700,44350961,"Clements, Henry",,,England,Y,,
1700,sarahcliff_0,"CLIFF, S.",,"Cliff, Sarah",England,N,http://bbti.bodleian.ox.ac.uk/details/?traderid=14519,
1700,bbti_124006,"COGAN, Francis",,,England,Y,http://edmondhoyle.blogspot.com/2011/09/biographical-notes-on-francis-cogan.html,
1700,johncolston_0,"COLSTON, John",,,England,N,,
1700,englishoriginalcopy_0,"COPY, English",X,,,,,
1700,bbti_116081,"COX, Thomas",,,England,N,,
1700,bbti_17752,"CRUTTENDEN, S",,,England,Y,Probably related to https://en.wikipedia.org/wiki/Robert_Cruttenden,
1700,73995150,"Curll, E.",,"Curll, Edmund",England,Y,https://en.wikipedia.org/wiki/Edmund_Curll,
1700,mrjamesdavidson_0,"DAVIDSON, Mr",,"Davidson, James",Scotland,Y,ESTC,
1700,annodom_0,"DOM, Dom",X,,,,,
1700,51926513,"Downing, J.",,"Downing, John",England,N,,
1700,wdrummond_0,"DRUMMOND, W.",,,Scotland,N,,
1700,bbti_113163,"FORD, Richard",,,England,N,,
1700,mrdavidfreebairn_0,"FREEBAIRN, Mr",,"Freebairn, David",Scotland,Y,https://www.jstor.org/stable/pdf/25519060.pdf,
1700,robertfreebairn_0,"FREEBAIRN, Mr",,"Freebairn, Robert",Scotland,Y,"Jacobite, worked with James Watson",
1700,robertusfreebairn_0,"FREEBAIRN, Robertus",robertfreebairn_0,"Freebairn, Robert",Scotland,Y,,
1700,bbti_106365,"GOSLING, Robert",,,England,N,,
1700,williamgrant_0,"GRANT, William",,,Scotland,N,,
1700,bbti_31555,"HARTLEY, John",,,England,N,,
1700,bbti_31974,"HAWES, William",,,England,N,,
1700,269036155,"Heptinstall, J.",,"Heptinstall, John",England,N,,
1700,chitch_0,"HITCH, C.",bbti_109575,,England,N,,
1700,78683735,"Hodgkin, Thomas",,,England,N,,
1700,bbti_35104,"HORNE, Thomas",,,England,N,,
1700,bbti_35731,"HUGGONSON, J",,,England,N,,
1700,27299050,"Innys, W.",,"Innys, William",England,N,,
1700,winnys_1,"INNYS, W.",27299050,"Innys, William",England,N,,
1700,jamesmceuen_0,"JOHN, James",,"James, John and Paul Knapton",England,N,"This is actually 'James, John and Paul Knapton'",
1700,samuelkeble_2,"KEBLE, Samuel",bbti_106556,,England,N,,
1700,bbti_106556,"KEBLE, Samuel",,,England,N,,
1700,bbti_39462,"KEBLE, William",,,England,N,,
1700,bbti_107957,"KNAPLOCK, Robert",,,England,N,Friend of Tonson,
1700,mrhenryknox_0,"KNOX, Mr",,"Knox, Henry",Scotland,N,Scottish surname at least,
1700,rmanby_0,"MANBY, R.",,,,,,
1700,bbti_132753,"MATTHEWS, John",,,England,N,,
1700,248202931,"Mears, W.",,"Mears, William",England,Y,https://en.wikipedia.org/wiki/William_Mears_(publisher),
1700,charlesjacksonmerchant_0,"MERCHANT, Charles",,"Jackson, Charles",England,Y,,
1700,173741386,"Midwinter, D.",,,England,Y,Was involved in a court case against Scottish booksellers,
1700,15008766,"Millar, A.",,"Millar, Andrew",Scotland,Y,,
1700,54025507,"Moncur, John",,,Scotland,Y,ESTC,
1700,mrwilliammonro_0,"MONRO, Mr",williammonro_0,"Monro, William",Scotland,Y,ESTC,
1700,17097029,"Morphew, J.",,,England,Y,https://en.wikipedia.org/wiki/John_Morphew,
1700,johnmorphew_1,"MORPHEW, John",17097029,,England,Y,,
1700,68826401,"Mosman, George",,,Scotland,Y,http://www.docs.is.ed.ac.uk/docs/lib-archive/bgallery/Gallery/records/fifteen/mosman.html,
1700,46649720,"Newborough, Thomas",,,England,N,,
1700,19553220,"Nicholson, J.",,"Nicholson, John",England,N,,
1700,26938284,"Nutt, J.",,"Nutt, John",England,Y,https://en.wikipedia.org/wiki/John_Nutt_(printer),
1700,bbti_51499,"OSBORN, John I",,,England,Y,Partner and FIL to T. Longman,
1700,joswald_0,"OSWALD, J.",,,Scotland,N,,
1700,bbti_105269,"PALMER, Samuel",,,England,N,,
1700,bbti_114516,"PARKER, Henry",,,England,N,,
1700,bbti_53584,"PEMBERTON, John",,,England,N,,
1700,77108557,"Ramsay, Allan, 1685-1758.",,,Scotland,Y,,
1700,andreandersonregis_0,"REGIS, Andreæ",,"Regis, Andreæ Anderson",Scotland,Y,"Related to https://en.wikisource.org/wiki/A_Dictionary_of_the_Booksellers_and_Printers_who_Were_at_Work_in_England,_Scotland_and_Ireland_from_1641_to_1667/Anderson_(Andrew) maybe?",
1700,crivington_1,"RIVINGTON, C.",,,Scotland,Y,https://en.wikipedia.org/wiki/Charles_Rivington,
1700,228716377,"Roberts, J.",,,England,N,,
1700,bbti_59028,"ROBINSON, Ranew",,,England,Y,,
1700,gulielmisayes_0,"SAYES, Gulielmi",,,?,,,
1700,24654312,"Smith, Richard",,,England,N,,
1700,bbti_64396,"SMITH, Sam",,,England,N,,
1700,12182874,"Sowle, T.",,,England,Y,https://en.wikipedia.org/wiki/Tace_Sowle,
1700,bbti_108120,"SPRINT, John",,,England,N,,
1700,andrewstalker_0,"STALKER, Andrew",,,England,Y,ODNB. Born in London but worked in Glasgow as bookseller,
1700,71442890,"Strahan, G.",,,Scotland,Y,,
1700,jamesstuart_1,"STUART, James",,,Scotland,Y,ESTC says 'James Stuart of Glasgow',
1700,95145542611696641723,"Symson, Andrew",,,Scotland,Y,Probably related to https://www.jstor.org/stable/pdf/25518868.pdf,
1700,mandreaesymson_0,"SYMSON, M.",95145542611696641723,,Scotland,Y,,
1700,gultaylor_0,"TAYLOR, Gul.",1565494,,England,N,,
1700,1565494,"Taylor, W.",,,England,N,,
1700,330654,"Tonson, Jacob",,,England,Y,,
1700,100328493,"Tooke, Benjamin",,,England,Y,https://www.dib.ie/biography/tooke-benjamin-a8594,
1700,bbti_107725,"TOOKE, Benjamin",100328493,,England,Y,,
1700,bbti_71500,"VARNAM, Thomas",,,England,N,,
1700,bbti_72157,"WALE, Jeffrey",,,England,N,,
1700,bbti_107857,"WALFORD, Benjamin",,,England,N,,
1700,jacobuswatson_0,"WATSON, Jacobus",,,England,N,,
1700,54200258,"Watson, James",,,England,N,,
1700,22019654,"Wilford, J.",,,England,N,,
1700,bbti_77601,"WOOD, Thomas",,,England,N,,
1700,bbti_78573,"WYAT, John",,,England,N,,
1700,johnreidyounger_0,"YOUNGER, John",,"Reid, John (Younger)",Scotland,Y,Ed. Hist of the Book in Scotland,
1720,76165466,"Akenhead, R.",,"Akenhead, Robert",England,N,,
1720,bbti_4474,"BASKET, Robert",,,England,N,,
1720,54199802,"Baskett, Thomas",,,England,N,,
1720,14847469,"Baxter, Andrew, 1686?-1750.",,,Scotland,Y,,
1720,228701119,"Bettenham, J.",,"Bettenham, Jacob",England,N,,
1720,36768263,"Bettesworth, A.",,"Bettesworth, Arthur",England,N,FIL to Charles Hitch,
1720,bbti_7137,"BLAND, R",,,England,N,,
1720,52045161,"Boyse, Samuel, 1708-1749.",,,Ireland,Y,https://en.wikipedia.org/wiki/Samuel_Boyse,
1720,williambrown_0,"BROWN, William",,,England,N,,
1720,5259928,"Cave, E.",,"Cave, Edward",England,N,,
1720,bbti_13032,"CHANDLER, John",,,England,N,,
1720,bbti_13039,"CHANDLER, Samuel",,,England,N,,
1720,bbti_13923,"CLARK, John",263788498,,England,N,,
1720,263788498,"Clarke, J.",,,England,N,,
1720,46380101,"Cock, Henry",,,England,N,,
1720,bbti_124006,"COGAN, Francis",,,England,Y,http://edmondhoyle.blogspot.com/2011/09/biographical-notes-on-francis-cogan.html,
1720,9741821,"Cooper, M.",,"Cooper, Mary",England,Y,https://en.wikipedia.org/wiki/Mary_Cooper_(publisher),
1720,tcooper_0,"COOPER, T.",,"Cooper, Thomas",England,N,,
1720,bbti_116081,"COX, Thomas",,,England,N,,
1720,bbti_17228,"CRITCHLEY, J",,,England,N,,
1720,bbti_18284,"DAMPIER, J",,,?,,,
1720,alexanderdavidson_0,"DAVIDSON, Alexander",,,Scotland,Y,https://www.jstor.org/stable/40371260,
1720,bbti_110934,"DAVIDSON, Joseph",,,England,N,,
1720,mrjamesdavidson_0,"DAVIDSON, Mr",,"Davidson, James",Scotland,Y,ESTC,
1720,68786630,"Davis, C.",,"David, Charles",England,N,,
1720,71283786,"Dodd, A.",,"Dodd, Anne II",England,Y,https://en.wikipedia.org/wiki/Anne_Dodd,
1720,rdodsley_0,"DODSLEY, R.",,"Dodsley, Robert",England,Y,,
1720,aduning_0,"DUNING, A.",,"Duning, Alexander",Scotland,Y,https://www.jstor.org/stable/40371260,
1720,bbti_23811,"FAYRAM, Francis",,,England,N,,
1720,robertfleming_0,"FLEMING, R.",,"Fleming, Robert",Scotland,N,,
1720,printedbyrobertfreebairn_0,"FREEBAIRN, Printedby",,,Scotland,Y,,
1720,NV13316,"Gordon, William, active 18th century.",,,Scotland,N,,
1720,bbti_28405,"GRAY, John",,,England,N,,
1720,bbti_28656,"GREEN, Thomas",,,England,N,,
1720,fletchergyles_0,"GYLES, Fletcher",bbti_29546,,England,N,,
1720,bbti_29546,"GYLES, Fletcher",,,England,N,,
1720,16820019,"Haberkorn, J.",,,England,N,,
1720,wilhamilton_0,"HAMILTON, Hamilton",,"Hamilton, William",Scotland,N,,
1720,ghawkins_0,"HAWKINS, G.",,,England,N,,
1720,222770681,"Hett, R.",,"Hett, Richard",England,N,,
1720,bbti_109575,"HITCH, Charles",,,England,N,,
1720,jhodges_0,"HODGES, J.",,,England,N,,
1720,bbti_35731,"HUGGONSON, J",,,England,N,,
1720,155189840,"Jefferies, F.",,"Jefferies, Francis",England,Y,BBTI,
1720,39241855,"Kincaid, Alexander, 1710 or 1711-1777.",,,Scotland,Y,,
1720,bbti_43637,"LONGMAN, J",,,England,Y,,
1720,mrthomaslongman_0,"LONGMAN, Mr",,,England,Y,,
1720,bbti_44618,"MAC-EVEN, James",,,Scotland,Y,,
1720,39493695,"Mair, John, 1702 or 1703-1769.",,,Scotland,Y,,
1720,32343772,"Malcolm, Alexander, 1685-1763.",,,Scotland,Y,,
1720,bbti_47231,"MILLAN, John",,,England,N,,
1720,15008766,"Millar, A.",,"Millar, Andrew",Scotland,Y,,
1720,mrwilliammonro_0,"MONRO, Mr",williammonro_0,"Monro, William",Scotland,Y,ESTC,
1720,williammonro_0,"MONRO, William",,"Monro, William",Scotland,Y,ESTC,
1720,johnmosman_0,"MOSMAN, John",,,Scotland,Y,,
1720,mrjames_0,Mr James,bbti_44618,,Scotland,Y,,
1720,bbti_51499,"OSBORN, John I",,,England,Y,Partner and FIL to T. Longman,
1720,NV23762,"Oswald, J.",,,Scotland,N,,
1720,20033278,"Owen, W.",,"Owen, William",England,N,,
1720,bbti_105269,"PALMER, Samuel",,,England,N,,
1720,messieursjpaton_0,"PATON, Messieurs",,,England,N,,
1720,bbti_109907,"PEELE, John",,,England,N,,
1720,bbti_53584,"PEMBERTON, John",,,England,N,,
1720,bbti_55662,"PRATT, T",,,England,N,,
1720,77108557,"Ramsay, Allan, 1685-1758.",,,Scotland,Y,,
1720,228716377,"Roberts, J.",,,England,N,,
1720,101583814,"Ruddimanni, Thomas",,,Scotland,Y,https://en.wikipedia.org/wiki/Thomas_Ruddiman,
1720,walterruddimans_0,"RUDDIMANS, Walter",,,Scotland,Y,,
1720,104162705,"Sallust, 86 B.C.-34 B.C.",X,,?,,,
1720,34336674,"Sanders, T.",,"Sanders, Thomas",?,,,
1720,26653683,"Stagg, J.",,"Stagg, John",England,N,,
1720,bbti_66593,"STOKOE, Luke",,,England,N,,
1720,71442890,"Strahan, G.",,,Scotland,Y,,
1720,bbti_114404,"SYMON, Edward",,,England,N,,
1720,hughdeams_0,"THOMAS, Mr",,"Deams, Hugh",England,N,,
1720,johntraill_0,"TRAILL, J.",,"Traill, John",Scotland,Y,Book source,
1720,12183814,"Trye, T.",,"Trye, Thomas",England,N,,
1720,76551088,"Vaillant, P.",,"Vaillant, Paul",France,N,Huguenot immigrant,
1720,51557323,"Warner, T.",,"Warner, Thomas",England,N,,
1720,bbti_73560,"WATSON, James",,,England,N,,
1720,218481116,"Watts, J.",,"Watts, John",England,N,,
1720,jwatts_0,"WATTS, J.",218481116,"Watts, John",England,N,,
1720,22019654,"Wilford, J.",,"Wilford, John",England,Y,https://en.wikipedia.org/wiki/John_Wilford,
1720,bbti_76236,"WILLIAMS, J",,,England,N,,
1720,bbti_76655,"WILLOCK, R",,,England,N,ESTC,
1720,bbti_76839,"WILSON, J",,"Wilson, John",England,Y,See David Hume: A Treatise of Human Nature: Volume 2: Editorial Material,Printed Hume
